"HolderAddress","Balance","PendingBalanceUpdate"
"0xccf07b623a71b8f5aac18f82bd3e0d76011b532f","557.977949437","No"
"0xcfe058c0646c0eec7e042744d9b8787d0f047a34","905156.570220661","No"
"0xcff8be491a0dc05e02a68e3ba62d5d130da858a7","3E-09","No"
"0xd2be82aefa54f69d8331e03aebb3496dda4a509e","58580.280355689","No"
"0xd442c11f27b61bfce01cb8e8879b0cf5673da17f","166652.432829379","No"
"0xd4fa8b066423c96494238ac93dce58c0c9de7026","8E-09","No"
"0xd5e9f315d8f6cf9391687e6049b39b1806ae3371","9E-09","No"
"0xd64644cc3ef6a16665200b044ba1533085402388","11794.722737868","No"
"0xd68d22d8e39a51d29de17bba124d3dd0ee7bf809","7E-09","No"
"0xd6d97e388ad305317d95c436d1b805811e60ef16","1240.277117915","No"
"0xd9fba16e1dc2de38aa5a4fc4f991960d2df40fa1","1553.589899581","No"
"0xdcd50e8b04951195bae1a65af3ec9f9053cbebae","8E-09","No"
"0xdd0fc1b0f7eec78fc70037bb4dbe969a48caed35","7E-09","No"
"0xde6ca404273ca439fe8ed39165c8e3205a1b0939","94359.316370023","No"
"0xdeb3c8f2e25f80bd12a652764f31476a827c7e1f","499037.761666211","No"
"0xe04f8ec2847e0be703bbc84dac3e5c84b98c991f","3E-09","No"
"0xe096d7500a7b0dc68fac62c4b06ad05f2f167ce4","3898.467668172","No"
"0xe1b2a7e3b3a99dfe6a228edfcd964eb4287316d6","7E-09","No"
"0xe25e4d3600c2e4358d1425bf9998c15c413a3d30","737.806947461","No"
"0xe2a6ef44da483e83dc062930e20bbaa24c996934","20511.975142875","No"
"0xe3411de8a85c09bac5d69ecf313c0c9bdabe9707","1242.147282282","No"
"0xe5874d84d188de798e18c2331fef60dc29b70afe","450.28414272","No"
"0xe8058e006da7cba33947947024419aaa25b104e7","697712.235779504","No"
"0xe8d55910f99effe2574e6f47b141b9d861a87762","4280.060344065","No"
"0xe8ef7806cf952a05efef1bc671547d987acc4bb1","23626.10078143","No"
"0xe8f7cbdef08ad682837093620206eeaf8f2ae13d","17630.700255503","No"
"0xea7dfc4139f4a9d34d69c5cf8b77441f4c40db29","931.840157114","No"
"0xeb19353451ed40d98cfc1fd41348bc32337f4328","81393.497254032","No"
"0xec4b2e824f69cb2ff1b0d3f98b5ade2e5b77a603","9E-09","No"
"0xed086c8f49b4cd31d0de7842ffbae470842dce8d","36055.125720902","No"
"0xed34a28424bdf3dc29fce1e4029a833d21cbe25f","9E-09","No"
"0xef9873e09aac0ba08ecb04abe03fea1433a4a4cb","4E-09","No"
"0xefe4d0359b3b9e6d7d36460a9810ce6ea3bcff66","15000.131239077","No"
"0xf00e716b73c67bb90127304ded1106d44f7c5ba3","47347.042998905","No"
"0xf061ef570e84eff26daa32017f63f3016636dc99","15674.543546632","No"
"0xf21d9ec7d34074ef23b0051c7b31d101679b66d2","2745.753360947","No"
"0xf299599b7bfeeae0352e32e5c75d313e38e5b555","2E-09","No"
"0xf32f272dd30506f0f56aa7aee2ec8b3a3342cf99","261520.031275055","No"
"0xf3e7b61aae2163ff3dfd33d79aabbff151392706","113646.20134889","No"
"0xf44c6a119957f77bdd820b62a513af3b1fa67b42","2E-09","No"
"0xf575387c897b83896f604648c2446cc9a36fa1df","66210.796814038","No"
"0xf6a739b2ac9cedba62d02b634f7f9f9c2219cba3","65007.789886867","No"
"0xf6bbd326f4da19a42b181af1c5dd9e066ae437e6","37157.524352241","No"
